index,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,SolZ_F,SenZ_F,SCA_F,SolZ_B,SenZ_B,SCA_B,lc,province,month,season,Fine_Mode_AOD_500nm
Rexburg_Idaho,0.23667483,0.15134025,0.12316547,0.2071193,0.17236307,0.2547812,0.15075491,0.15906727,0.28204167,0.22646599,64.36314,22.07748,93.78366,64.45013,22.302801,136.02724,190,11,11,3,0.017540333
MAXAR_FUTON,0.3925592,0.30858165,0.33542377,0.36975813,0.37246558,0.39823228,0.29761094,0.35366416,0.41647395,0.41588488,63.39778,34.939877,96.547295,63.489704,35.09645,136.58897,11,5,1,4,0.03177025
Grand_Forks,0.30051446,0.15186964,0.09880863,0.25480127,0.20680977,0.27276328,0.13849404,0.10489411,0.2973924,0.22161962,51.30925,36.104828,112.705605,51.42231,36.25469,152.44319,11,33,9,3,0.031347
TABLE_MOUNTAIN_CA,0.28698647,0.18330604,0.13240187,0.24312034,0.10327688,0.2909985,0.17178513,0.14986037,0.2594691,0.1792696,57.398758,41.33705,101.84464,57.48833,41.494305,138.60379,70,4,1,4,0.0076915
Grand_Forks,0.23641758,0.10866137,0.06039247,0.31032526,0.20479864,0.23026553,0.14419322,0.12013715,0.44727406,0.27139702,35.394382,22.29767,124.861694,35.508816,22.512466,165.45975,11,33,8,2,0.086388
NEON_WOOD,0.28826907,0.17274256,0.16703361,0.27448624,0.30087498,0.32620907,0.21226689,0.25746265,0.33574012,0.3746929,71.626976,23.245914,85.36305,71.711815,23.462671,127.866394,130,33,11,3,0.018690571
Rexburg_Idaho,0.24759144,0.17839526,0.1509342,0.27407017,0.200923,0.2746528,0.19974002,0.22493263,0.33799896,0.30529895,54.22711,22.091639,104.05944,54.335415,22.31651,145.13336,190,11,10,3,0.359169
Ames,0.25757465,0.15364894,0.1340395,0.23297311,0.274077,0.27334705,0.16654225,0.16306324,0.30174017,0.34384453,61.879307,26.442886,93.20777,61.96849,26.627186,133.16345,11,14,11,3,0.0619752
NASA_LaRC,0.2733054,0.13068831,0.061999083,0.074156664,0.10838496,0.28598568,0.13512716,0.11396167,0.26795733,0.20070533,59.848866,22.761257,99.96785,59.94456,22.982204,143.02869,190,45,11,3,0.046977714
Tallahassee,0.2855045,0.15664977,0.11175784,0.20042272,0.1624378,0.29884875,0.16763072,0.15730456,0.27595013,0.23076475,56.80608,31.60345,102.95342,56.9019,31.72079,144.08453,190,9,1,4,0.0898726
NEON_CLBJ,0.25363716,0.13080639,0.08437986,0.3138534,0.17237292,0.22016717,0.11971689,0.09050674,0.25910544,0.16994344,24.375256,34.195946,122.433266,24.538906,34.30909,141.23213,130,42,4,1,0.107867333
Bakersfield,0.32869473,0.18385763,0.111644015,0.22299771,0.19166173,0.5923827,0.58224016,0.3920575,0.61720544,0.42398703,48.656567,33.03459,111.27271,48.754105,33.19239,151.3358,190,4,2,4,0.079895375
Brookhaven,0.24348906,0.12567545,0.100461684,0.27870804,0.1596065,0.24904859,0.14927697,0.11634073,0.4137796,0.25002062,29.55044,31.682554,133.97014,29.709148,31.913477,171.80629,190,31,7,2,0.053318125
NASA_Ames,0.23908477,0.15447369,0.17208144,0.2532684,0.24557915,0.23059227,0.17774214,0.19433075,0.30826476,0.24216132,26.41528,22.402464,132.30054,26.581783,22.61888,160.46996,120,4,5,1,0.044298636
TABLE_MOUNTAIN_CA,0.25254366,0.1481079,0.11183325,0.22234467,0.14477251,0.24466744,0.1555633,0.13972233,0.30305466,0.23123148,35.48848,41.337482,126.64622,35.65477,41.492973,159.06052,70,4,4,1,0.043041
NEON_RMNP,0.17868097,0.08906911,0.062614575,0.17081694,0.13155216,0.19596115,0.10658507,0.085968465,0.2426349,0.20782141,47.19821,31.320261,116.11259,47.31902,31.495337,157.6163,70,5,9,3,0.009312273
Missoula,0.29458314,0.17980547,0.17280625,0.26060182,0.26851276,0.30991387,0.21661587,0.20568319,0.30641764,0.3337947,54.228985,35.612625,109.984184,54.342785,35.765602,150.06125,190,25,9,3,0.0349208
Railroad_Valley2,0.26080543,0.23229374,0.30046013,0.34231517,0.3797184,0.31668124,0.37354192,0.44490826,0.4830293,0.47206098,62.470585,29.537052,91.68283,62.547714,29.718721,130.77725,200,27,11,3,0.02062975
Yuma,0.26321688,0.13845396,0.15871195,0.33122453,0.25424322,0.28680578,0.23165111,0.2976237,0.37189224,0.3581225,45.285374,37.812527,106.239685,45.351677,37.969135,139.12756,120,2,2,4,0.04515275
Univ_of_Nevada-Reno,0.19727838,0.15893023,0.153487,0.20116024,0.19031899,0.2076076,0.16206878,0.16835794,0.29066443,0.21352562,37.855885,31.291704,113.09017,37.967518,31.49387,143.27031,190,27,9,3,0.1239174
La_Jolla,0.2710319,0.15728389,0.13176318,0.22172895,0.15779978,0.26274204,0.16566297,0.14801058,0.27591887,0.21480177,32.73826,30.524027,118.59736,32.85617,30.599762,147.4549,190,4,3,1,0.0
UMBC,0.23718289,0.14870894,0.12267534,0.26905307,0.18973759,0.22911368,0.14975947,0.13856927,0.34817174,0.21973807,25.627268,37.905205,119.1944,25.747152,38.014973,138.82181,190,19,8,2,0.1950905
NEON_TEAK,0.25813627,0.114707306,0.049593236,0.14985563,0.07991739,0.23401229,0.093598664,0.06444621,0.20156813,0.11712818,61.064365,44.442978,88.774414,61.141483,44.530693,121.84204,70,4,11,3,0.012880818
Pinehurst_Idaho,0.28043094,0.16569188,0.11359653,0.25223038,0.23641264,0.23824319,0.115381725,0.08464065,0.16705489,0.17352283,33.35526,42.939545,108.96624,33.451572,43.034695,130.84586,190,11,5,1,0.0468245
NEON_KONZ,0.29490185,0.14641455,0.11785042,0.21148221,0.24349909,0.27758536,0.13342825,0.171328,0.3034808,0.31886232,62.394783,35.92333,89.90138,62.47317,36.041916,126.615814,130,15,11,3,0.0532146
PNNL,0.21930933,0.14488605,0.14081882,0.20680502,0.19708806,0.24025787,0.16038394,0.18394439,0.29790878,0.25590137,43.352577,22.422386,114.406075,43.465633,22.65777,153.38313,120,46,9,3,0.081443875
NEON_WREF,0.19666187,0.09391866,0.03411221,0.19721495,0.07446644,0.20909066,0.10354332,0.061018556,0.35880733,0.16521236,35.808277,22.979431,125.06707,35.923695,23.197048,166.92873,70,46,8,2,0.105903727
Billerica,0.29707432,0.14571574,0.065035045,0.23867086,0.12347668,0.31312612,0.13634042,0.088060305,0.33293894,0.18754545,60.1635,36.434376,104.723625,60.281555,36.55707,144.63966,190,20,10,3,0.0581485
NEON_SJER,0.19857465,0.106175095,0.08652495,0.18377078,0.23775011,0.20468809,0.1085419,0.11509878,0.23789045,0.27747118,25.305017,27.802843,126.92924,25.460136,28.04223,148.51035,10,4,5,1,0.035185214
Meridian_DEQ,0.3218473,0.20788096,0.16180943,0.2214512,0.20356716,0.34586495,0.21600343,0.22072962,0.28600627,0.26326692,70.70707,31.59071,91.25264,70.78885,31.76565,132.72748,190,11,12,4,0.075754364
NEON_ONAQ,0.18764107,0.1292152,0.17270458,0.2622768,0.31390655,0.19743803,0.18388872,0.24868894,0.35463917,0.39902726,24.32276,22.00195,137.07866,24.492792,22.231215,165.82811,120,43,6,2,0.021174692
Taylor_Ranch_TWRS,0.28320545,0.2070813,0.17601603,0.24297933,0.227016,0.27186668,0.18144992,0.1775881,0.2542053,0.29335934,37.959274,21.998363,121.65631,38.082302,22.237432,161.59312,120,11,8,2,0.256192
South_Greenbay,0.22948979,0.112031445,0.052376278,0.0347,0.024844032,0.2225371,0.09024232,0.05263426,0.031175919,0.025910962,31.112364,30.392649,132.27635,31.251787,30.545137,172.45787,210,48,7,2,0.047318182
Monterey,0.25931835,0.172344,0.13569483,0.20209648,0.19530344,0.24864876,0.15806557,0.19968832,0.29202396,0.23977646,24.193449,36.95209,142.16309,24.402683,37.096134,166.87544,190,4,6,2,0.0701982
MD_Science_Center,0.2246842,0.13456094,0.099839434,0.12180181,0.13169535,0.22373432,0.12796707,0.13409801,0.13365655,0.16588134,37.481457,37.446594,109.74755,37.590816,37.560097,136.74686,190,19,9,3,0.0596929
UH_Sugarland,0.25228876,0.13324742,0.0877174,0.27877077,0.20742692,0.25575843,0.18971187,0.14706446,0.37390116,0.29643562,30.772835,37.38535,132.39125,30.960257,37.509674,165.36505,10,42,4,1,0.0673939
Monterey,0.2951773,0.18711428,0.1517601,0.18595839,0.18354477,0.2814939,0.18138263,0.14949794,0.25780982,0.25360352,31.254118,36.79961,132.67393,31.422976,36.943592,166.6601,190,4,8,2,0.232262
Seguin_Texas_USA,0.28594425,0.15696698,0.15006521,0.27830654,0.31065935,0.2268978,0.16553493,0.17065375,0.36410645,0.3420126,18.162016,25.10846,149.16042,18.38856,25.282148,167.12328,190,42,7,2,0.05045275
Sevilleta,0.2613295,0.16375943,0.19528975,0.2607311,0.2843328,0.28275177,0.18160124,0.18937503,0.2119644,0.31586832,61.991062,34.52192,99.04791,62.094276,34.701702,139.38702,120,30,12,4,0.011695889
Meridian_DEQ,0.2627126,0.15229817,0.15417449,0.21558715,0.20529543,0.2644871,0.16663875,0.18572819,0.27164134,0.25199413,51.312866,39.19108,99.7178,51.380302,39.300797,133.27629,190,11,3,1,0.0463193
EPA-Res_Triangle_Pk,0.27683893,0.15337329,0.120024055,0.18517965,0.15812196,0.28065163,0.13021392,0.12747268,0.22812283,0.20455645,59.20311,30.363668,100.25479,59.291527,30.506453,141.85834,130,32,1,4,0.0201645
NEON_CLBJ,0.23905012,0.13274993,0.116830155,0.19055663,0.22813846,0.26737145,0.1302218,0.14063117,0.24546301,0.30681553,57.71604,22.971655,101.06186,57.79878,23.16627,144.84679,130,42,1,4,0.0665991
Denver_LaCasa,0.24439512,0.17411809,0.18336421,0.23126101,0.24628894,0.24915388,0.19390367,0.19325511,0.31266898,0.25787267,46.409916,22.127676,111.83332,46.523483,22.365232,151.99205,190,5,9,3,0.037402333
NEON_OAES,0.28273666,0.15968852,0.14874567,0.27114454,0.32157823,0.2697092,0.18396512,0.19531627,0.36487126,0.40380487,36.66029,31.304726,126.7889,36.809284,31.467075,167.66734,130,35,9,3,0.1745025
NEON_SCBI,0.27173474,0.15647858,0.10666304,0.23448864,0.16545837,0.25445762,0.13242584,0.10617893,0.3062085,0.20849438,53.919853,25.164698,101.51447,54.015594,25.355907,140.56761,60,45,10,3,0.0655065
NEON-CPER,0.19630413,0.15254793,0.17277005,0.24761832,0.36358178,0.20491728,0.18728028,0.21831952,0.3104024,0.42223492,24.604221,22.173223,134.86829,24.767078,22.407608,161.79697,130,5,6,2,0.299700182
IMPROVE-MammothCave,0.22783495,0.09911184,0.04027051,0.2038532,0.16426086,0.2284301,0.12892772,0.102437496,0.3592416,0.29098442,41.71834,23.25735,115.02573,41.824615,23.47612,152.44559,130,16,9,3,0.078845938
NEON_CVALLA,0.2340375,0.14056213,0.13478057,0.2561652,0.23490427,0.22069347,0.1618657,0.11833202,0.37751704,0.30077735,26.525202,33.202946,138.63324,26.693592,33.307514,171.76343,11,5,7,2,0.15612375
BONDVILLE,0.31232342,0.17806196,0.1594265,0.19307071,0.2686416,0.33714414,0.1860929,0.20113952,0.28808928,0.38155743,64.928696,36.40128,98.61213,65.047066,36.52316,138.52249,11,12,11,3,0.0284966
NEON_KONZ,0.26455888,0.14192422,0.087010734,0.26746055,0.23257671,0.25249028,0.15301012,0.119877174,0.29711312,0.29353788,30.314472,37.77099,135.51704,30.491161,37.854645,167.95877,130,15,5,1,0.169308
PNNL,0.34547934,0.22114773,0.17669705,0.25020123,0.23906857,0.3636922,0.21033399,0.22664355,0.31504163,0.24864608,71.037155,31.6839,91.95499,71.13317,31.855762,133.31792,120,46,11,3,0.079895
